"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"h1SMcG00132193",0,0.0253798017698816,0.313,0.029,0,"21","h1SMcG0013219"
"h1SMcG00118413",0,0.0251420012642718,0.523,0.055,0,"21","h1SMcG0011841"
"h1SMcG00211281",0,0.0250390457879664,0.16,0.014,0,"21","h1SMcG0021128"
"h1SMcG00126093",0,0.024846732850784,0.441,0.045,0,"21","h1SMcG0012609"
"h1SMcG00215801",0,0.0244742515456808,0.207,0.019,0,"21","h1SMcG0021580"
"h1SMcG00003612",0,0.0243312287902442,0.215,0.02,0,"21","h1SMcG0000361"
"h1SMcG00230282",0,0.0241173131009371,0.206,0.019,0,"21","h1SMcG0023028"
"h1SMcG00141161",0,0.0237189192655583,0.167,0.016,0,"21","h1SMcG0014116"
"h1SMcG00222363",0,0.0236898867484672,0.551,0.062,0,"21","h1SMcG0022236"
"h1SMcG0005075",0,0.0232960854470569,0.15,0.014,0,"21","h1SMcG0005075"
"h1SMcG0015505",0,0.0231649491802401,0.232,0.025,0,"21","h1SMcG0015505"
"h1SMcG00046063",0,0.0229626959784728,0.644,0.087,0,"21","h1SMcG0004606"
"h1SMcG00086503",0,0.0227584665602499,0.712,0.089,0,"21","h1SMcG0008650"
"h1SMcG00073953",0,0.0226729692229697,0.315,0.032,0,"21","h1SMcG0007395"
"h1SMcG00146811",0,0.0221063536786327,0.167,0.017,0,"21","h1SMcG0014681"
"h1SMcG00147443",0,0.0219277822078454,0.428,0.049,0,"21","h1SMcG0014744"
"h1SMcG0000432",0,0.021694106468022,0.22,0.024,0,"21","h1SMcG0000432"
"h1SMcG00143543",0,0.0215541708746716,0.977,0.175,0,"21","h1SMcG0014354"
"h1SMcG00046073",0,0.0211898505231888,0.622,0.086,0,"21","h1SMcG0004607"
"h1SMcG00175363",0,0.0211689249185042,0.428,0.048,0,"21","h1SMcG0017536"
"h1SMcG00170342",0,0.0209254790129016,0.399,0.047,0,"21","h1SMcG0017034"
"h1SMcG0014883",0,0.0204442238431953,0.138,0.015,0,"21","h1SMcG0014883"
"h1SMcG00032583",0,0.0201886212881042,0.446,0.053,0,"21","h1SMcG0003258"
"h1SMcG00167331",0,0.019835653109119,0.24,0.029,0,"21","h1SMcG0016733"
"h1SMcG00022553",0,0.0195332441792948,0.228,0.028,0,"21","h1SMcG0002255"
"h1SMcG00182602",0,0.0194079450964757,0.167,0.019,0,"21","h1SMcG0018260"
"h1SMcG00058933",0,0.0193311245709888,0.533,0.075,0,"21","h1SMcG0005893"
"h1SMcG00048272",0,0.0190513730017235,0.318,0.04,0,"21","h1SMcG0004827"
"h1SMcG00105973",0,0.0189966038242619,0.426,0.054,0,"21","h1SMcG0010597"
"h1SMcG0012614",0,0.0188116494722422,0.153,0.019,0,"21","h1SMcG0012614"
"h1SMcG0004724",0,0.0183030877518922,0.177,0.022,0,"21","h1SMcG0004724"
"h1SMcG00026223",0,0.0181122758637723,0.654,0.096,0,"21","h1SMcG0002622"
"h1SMcG00103761",0,0.017961459095852,0.188,0.024,0,"21","h1SMcG0010376"
"h1SMcG0002577",0,0.0175041130475964,0.168,0.022,0,"21","h1SMcG0002577"
"h1SMcG00046091",0,0.0169058833938395,0.204,0.028,0,"21","h1SMcG0004609"
"h1SMcG00144063",0,0.016593828982532,0.318,0.043,0,"21","h1SMcG0014406"
"h1SMcG00027203",0,0.014877681694977,0.315,0.047,0,"21","h1SMcG0002720"
"h1SMcG00170923",0,0.0146804591476126,0.534,0.084,0,"21","h1SMcG0017092"
"h1SMcG00095001",0,0.0139321846509211,0.227,0.038,0,"21","h1SMcG0009500"
"h1SMcG00169995",0,0.0136839980628176,0.341,0.062,0,"21","h1SMcG0016999"
"h1SMcG00198533",0,0.0132571273628497,0.316,0.059,0,"21","h1SMcG0019853"
"h1SMcG00152363",0,0.0131340204131556,0.636,0.093,0,"21","h1SMcG0015236"
"h1SMcG00081063",0,0.0125160877472353,0.241,0.042,0,"21","h1SMcG0008106"
"h1SMcG00159035",0,0.0123005946786018,0.346,0.07,0,"21","h1SMcG0015903"
"h1SMcG00170814",0,0.0120438475924698,0.304,0.06,0,"21","h1SMcG0017081"
"h1SMcG00134628",0,0.00781761964753146,0.487,0.144,0,"21","h1SMcG0013462"
"h1SMcG0021161",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000264403818983972,0.0242852261866268,0.113,0.01,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128785812150713,"21","h1SMcG0021161"
"h1SMcG0001697",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121186799849088,0.0244171191918323,0.105,0.009,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000590276664704938,"21","h1SMcG0001697"
"h1SMcG0015761",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000240763265337228,0.0242879973637174,0.108,0.01,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117270971280457,"21","h1SMcG0015761"
"h1SMcG00145982",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000514402508293602,0.0120516062447363,0.237,0.044,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000250555173739648,"21","h1SMcG0014598"
