homer_ID	cl	cl_name
NRF1(NRF)/MCF7-NRF1-ChIP-Seq(Unpublished)/Homer	c_93	NRF
p53(p53)/Saos-p53-ChIP-Seq(GSE15780)/Homer	c_96	p53/63/73
p63(p53)/Keratinocyte-p63-ChIP-Seq(GSE17611)/Homer	c_96	p53/63/73
p73(p53)/Trachea-p73-ChIP-Seq(PRJNA310161)/Homer	c_96	p53/63/73
Tcfcp2l1(CP2)/mES-Tcfcp2l1-ChIP-Seq(GSE11431)/Homer	c_96	p53/63/73
p53(p53)/mES-cMyc-ChIP-Seq(GSE11431)/Homer	c_97	p53/63/73_2
PAX5(Paired,Homeobox)/GM12878-PAX5-ChIP-Seq(GSE32465)/Homer	c_99	Pax_1
PAX6(Paired,Homeobox)/Forebrain-Pax6-ChIP-Seq(GSE66961)/Homer	c_99	Pax_1
Pax8(Paired,Homeobox)/Thyroid-Pax8-ChIP-Seq(GSE26938)/Homer	c_99	Pax_1
PAX5(Paired,Homeobox),condensed/GM12878-PAX5-ChIP-Seq(GSE32465)/Homer	c_100	Pax_condensed
PAX3:FKHR-fusion(Paired,Homeobox)/Rh4-PAX3:FKHR-ChIP-Seq(GSE19063)/Homer	c_98	PAX3:FKHR
Pax7(Paired,Homeobox)/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer	c_102	Pax7
PBX1(Homeobox)/MCF7-PBX1-ChIP-Seq(GSE28007)/Homer	c_103	PBX/Pknox
Pbx3(Homeobox)/GM12878-PBX3-ChIP-Seq(GSE32465)/Homer	c_103	PBX/Pknox
Pknox1(Homeobox)/ES-Prep1-ChIP-Seq(GSE63282)/Homer	c_103	PBX/Pknox
Pax7(Paired,Homeobox),long/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer	c_101	Phox
Phox2b(Homeobox)/CLBGA-PHOX2B-ChIP-Seq(GSE90683)/Homer	c_101	Phox
Pit1+1bp(Homeobox)/GCrat-Pit1-ChIP-Seq(GSE58009)/Homer	c_95	Pit1+1bp
Pitx1(Homeobox)/Chicken-Pitx1-ChIP-Seq(GSE38910)/Homer	c_104	Pitx
Oct4:Sox17(POU,Homeobox,HMG)/F9-Sox17-ChIP-Seq(GSE44553)/Homer	c_94	POU(Oct)
OCT:OCT-short(POU,Homeobox)/NPC-OCT6-ChIP-Seq(GSE43916)/Homer	c_95	POU(Oct)_2
OCT:OCT(POU,Homeobox,IR1)/NPC-Brn2-ChIP-Seq(GSE35496)/Homer	c_95	POU(Oct)_2
Brn1(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)/Homer	c_22	POU_1
Oct11(POU,Homeobox)/NCIH1048-POU2F3-ChIP-seq(GSE115123)/Homer	c_22	POU_1
Oct2(POU,Homeobox)/Bcell-Oct2-ChIP-Seq(GSE21512)/Homer	c_22	POU_1
OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	c_22	POU_1
Oct4(POU,Homeobox)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	c_22	POU_1
Oct6(POU,Homeobox)/NPC-Pou3f1-ChIP-Seq(GSE35496)/Homer	c_22	POU_1
Brn2(POU,Homeobox)/NPC-Brn2-ChIP-Seq(GSE35496)/Homer	c_23	POU_2
OCT:OCT(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)/Homer	c_23	POU_2
OCT:OCT(POU,Homeobox)/NPC-OCT6-ChIP-Seq(GSE43916)/Homer	c_23	POU_2
Pit1(Homeobox)/GCrat-Pit1-ChIP-Seq(GSE58009)/Homer	c_23	POU_2
PSE(SNAPc)/K562-mStart-Seq/Homer	c_109	PSE
Rbpj1(?)/Panc1-Rbpj1-ChIP-Seq(GSE47459)/Homer	c_110	Rbpj1
RUNX-AML(Runt)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer	c_116	Runt(RUNX)
RUNX(Runt)/HPC7-Runx1-ChIP-Seq(GSE22178)/Homer	c_116	Runt(RUNX)
RUNX1(Runt)/Jurkat-RUNX1-ChIP-Seq(GSE29180)/Homer	c_116	Runt(RUNX)
RUNX2(Runt)/PCa-RUNX2-ChIP-Seq(GSE33889)/Homer	c_116	Runt(RUNX)
Smad2(MAD)/ES-SMAD2-ChIP-Seq(GSE29422)/Homer	c_119	Smad
Smad3(MAD)/NPC-Smad3-ChIP-Seq(GSE36673)/Homer	c_119	Smad
Smad4(MAD)/ESC-SMAD4-ChIP-Seq(GSE29422)/Homer	c_119	Smad
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	c_42	Snail
Slug(Zf)/Mesoderm-Snai2-ChIP-Seq(GSE61475)/Homer	c_42	Snail
Snail1(Zf)/LS174T-SNAIL1.HA-ChIP-Seq(GSE127183)/Homer	c_42	Snail
ZEB1(Zf)/PDAC-ZEB1-ChIP-Seq(GSE64557)/Homer	c_42	Snail
ZEB2(Zf)/SNU398-ZEB2-ChIP-Seq(GSE103048)/Homer	c_42	Snail
SOX1(HMG)/NPC-SOX1-ChIP-Seq(GSE138215)/Homer	c_120	HMG(Sox)
Sox10(HMG)/SciaticNerve-Sox3-ChIP-Seq(GSE35132)/Homer	c_120	HMG(Sox)
